location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_abdominal_obesity,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anemia,search_trends_anxiety,search_trends_arthritis,search_trends_asthma,search_trends_attention_deficit_hyperactivity_disorder,search_trends_autoimmune_disease,search_trends_back_pain,search_trends_bleeding,search_trends_bloating,search_trends_bone_fracture,search_trends_bruise,search_trends_burn,search_trends_candidiasis,search_trends_chest_pain,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_dementia,search_trends_depression,search_trends_dermatitis,search_trends_diabetes,search_trends_diarrhea,search_trends_dizziness,search_trends_epilepsy,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_flatulence,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_hay_fever,search_trends_headache,search_trends_heart_arrhythmia,search_trends_heartburn,search_trends_hypertension,search_trends_hypothyroidism,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_knee_pain,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_myocardial_infarction,search_trends_nausea,search_trends_obesity,search_trends_pain,search_trends_panic_attack,search_trends_paresthesia,search_trends_perspiration,search_trends_psychosis,search_trends_scar,search_trends_sinusitis,search_trends_skin_condition,search_trends_skin_rash,search_trends_skin_ulcer,search_trends_sleep_disorder,search_trends_sore_throat,search_trends_stroke,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vaginal_discharge,search_trends_vomiting,search_trends_weight_gain,search_trends_xeroderma,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_SC_45043,2020-01-11,ChIJe4TinDsoAIkRTg5TEkAlSpM,Q505980,geoId/45043,US,United States of America,SC,South Carolina,45043,Georgetown County,US,USA,2,,,,,,,61826,29318,32508,5911,6911,6021,5737,6661,8638,10954,7874,3119,2532508,33.41,-79.3,2681,76.264286,,,,,,3.77,6.49,8.9,5.88,10.41,,4.98,8.75,,3.02,,7.24,4.52,2.71,2.26,2.11,2.71,2.56,,15.84,2.87,10.86,3.32,2.26,4.83,2.56,10.11,4.52,,2.11,4.98,4.98,3.92,3.77,4.67,6.03,,4.98,3.47,3.62,10.26,2.26,23.38,7.69,2.41,12.37,,,3.92,4.83,3.17,2.41,4.98,44.19,,3.92,,,2.71,2.56,4.98,9.35,2.26,2.56,3.77,3.62,5.28,4.98,3.92,,,3.47,3.77,19.17284,15.481481,22.802469,0.0,16.631944,85.787889
US_SC_45043,2020-01-12,ChIJe4TinDsoAIkRTg5TEkAlSpM,Q505980,geoId/45043,US,United States of America,SC,South Carolina,45043,Georgetown County,US,USA,2,,,,,,,61826,29318,32508,5911,6911,6021,5737,6661,8638,10954,7874,3119,2532508,33.41,-79.3,2681,76.264286,,,,,,3.15,3.6,11.72,4.81,13.52,2.1,7.66,6.61,,3.0,,7.36,4.21,3.0,4.96,2.55,,3.31,3.31,13.97,5.56,9.16,5.26,3.6,4.66,2.85,9.31,4.81,2.4,2.4,2.55,6.16,3.6,2.7,5.56,5.71,,6.16,2.55,2.85,9.46,,20.43,7.51,2.1,7.36,,,3.46,5.41,2.1,2.4,4.96,50.33,,2.1,,,,2.7,5.56,9.01,3.0,2.7,,3.15,7.21,4.21,5.26,2.55,2.85,4.81,2.7,20.969136,18.802469,23.530864,5.0165,19.951389,93.896186
US_SC_45043,2020-01-13,ChIJe4TinDsoAIkRTg5TEkAlSpM,Q505980,geoId/45043,US,United States of America,SC,South Carolina,45043,Georgetown County,US,USA,2,,,,,,,61826,29318,32508,5911,6911,6021,5737,6661,8638,10954,7874,3119,2532508,33.41,-79.3,2681,76.264286,,,,,,3.32,4.47,8.43,5.36,11.24,2.43,7.28,6.9,2.17,3.96,1.92,7.54,4.09,2.81,4.98,,1.92,2.68,,12.52,2.04,7.41,3.58,4.34,5.62,1.79,13.03,3.58,2.17,2.81,5.24,5.62,3.19,2.68,5.49,4.6,1.79,5.36,4.47,4.09,12.01,1.92,26.31,6.0,5.11,6.39,2.55,3.19,3.06,6.26,3.45,,6.13,40.48,,,,,1.92,,5.88,6.64,,3.45,2.94,3.7,7.92,5.75,6.77,3.83,3.96,2.68,1.92,20.41358,18.339506,24.141975,1.016,19.541667,95.036677
US_SC_45043,2020-01-14,ChIJe4TinDsoAIkRTg5TEkAlSpM,Q505980,geoId/45043,US,United States of America,SC,South Carolina,45043,Georgetown County,US,USA,2,,,,,,,61826,29318,32508,5911,6911,6021,5737,6661,8638,10954,7874,3119,2532508,33.41,-79.3,2681,76.264286,,,,,,4.86,6.21,8.77,6.75,11.47,3.64,7.56,9.58,,4.86,3.24,4.72,4.05,,4.99,,,3.51,2.29,13.49,3.64,9.71,4.18,4.05,5.53,2.7,12.55,3.91,,3.24,2.29,5.94,5.4,2.29,6.48,3.1,2.43,4.86,,4.99,9.45,3.78,27.8,5.94,2.97,8.91,2.7,2.56,5.26,2.97,3.37,2.83,10.26,41.97,,2.16,,,2.97,,3.64,8.23,,,2.7,4.05,6.75,6.21,4.86,2.7,2.7,2.02,,19.54321,16.611111,24.438272,5.987143,18.0,90.760937
US_SC_45043,2020-01-15,ChIJe4TinDsoAIkRTg5TEkAlSpM,Q505980,geoId/45043,US,United States of America,SC,South Carolina,45043,Georgetown County,US,USA,2,,,,,,,61826,29318,32508,5911,6911,6021,5737,6661,8638,10954,7874,3119,2532508,33.41,-79.3,2681,76.264286,,,,,,3.07,4.0,8.68,6.14,11.35,1.87,7.34,4.67,2.94,4.14,,7.21,2.94,3.2,3.07,1.87,,2.14,2.14,12.55,3.07,7.48,3.47,4.14,4.94,2.94,12.95,4.0,2.0,2.67,2.94,6.81,3.74,2.67,5.74,3.34,2.0,5.74,2.27,3.87,11.61,2.14,28.83,7.74,3.74,6.94,,3.47,4.81,4.14,2.4,2.14,7.74,47.79,,3.2,,2.14,2.27,,5.21,7.21,1.87,3.2,2.4,2.67,5.21,7.08,6.94,2.67,3.07,3.74,2.4,18.469136,16.0,22.487654,0.127,16.597222,89.098733
US_SC_45043,2020-01-16,ChIJe4TinDsoAIkRTg5TEkAlSpM,Q505980,geoId/45043,US,United States of America,SC,South Carolina,45043,Georgetown County,US,USA,2,,,,,,,61826,29318,32508,5911,6911,6021,5737,6661,8638,10954,7874,3119,2532508,33.41,-79.3,2681,76.264286,,,,,,4.14,4.83,7.31,4.41,10.76,2.21,6.62,9.1,2.62,2.76,1.93,7.72,4.41,2.48,4.55,,,2.62,,11.86,3.03,6.76,4.0,3.17,4.69,2.48,11.03,3.17,2.62,3.17,3.03,6.76,4.96,3.03,4.41,6.76,,3.72,4.96,4.28,11.17,,24.13,7.03,3.31,5.52,1.93,3.45,2.48,4.69,3.03,2.34,6.48,45.51,,2.62,,,3.03,2.34,4.0,6.07,3.03,3.03,,3.31,6.21,5.24,6.76,2.76,3.58,5.1,,18.864198,15.617284,23.796296,0.127,14.791667,77.513155
US_SC_45043,2020-01-17,ChIJe4TinDsoAIkRTg5TEkAlSpM,Q505980,geoId/45043,US,United States of America,SC,South Carolina,45043,Georgetown County,US,USA,2,,,,,,,61826,29318,32508,5911,6911,6021,5737,6661,8638,10954,7874,3119,2532508,33.41,-79.3,2681,76.264286,,,,,,2.1,4.19,8.39,5.03,11.74,,6.85,6.57,3.08,3.21,4.89,5.87,5.31,2.79,3.77,,2.38,3.08,,12.3,4.61,8.25,1.96,4.05,3.08,2.52,10.48,3.63,,2.94,4.33,6.43,4.05,3.21,4.33,5.87,2.1,5.03,2.79,3.35,10.62,,22.08,6.43,5.03,8.39,3.21,4.89,5.17,5.73,3.35,3.63,3.91,41.65,2.1,1.96,,2.79,3.49,,5.31,6.15,1.96,2.52,,4.19,6.29,4.61,5.17,2.52,4.19,4.61,2.24,9.91358,6.475309,14.777778,0.28575,-4.201389,37.181943
US_SC_45043,2020-01-18,ChIJe4TinDsoAIkRTg5TEkAlSpM,Q505980,geoId/45043,US,United States of America,SC,South Carolina,45043,Georgetown County,US,USA,2,,,,,,,61826,29318,32508,5911,6911,6021,5737,6661,8638,10954,7874,3119,2532508,33.41,-79.3,2681,76.264286,,,,,,,3.92,10.39,6.93,10.39,,8.28,7.98,3.16,2.71,,6.32,3.76,2.56,2.11,2.56,2.86,4.07,,13.4,4.52,7.83,3.46,3.01,5.27,2.56,7.98,5.12,2.26,2.71,4.67,4.07,4.82,,3.92,7.53,,4.67,,2.11,7.98,,21.38,6.93,4.67,8.13,2.41,3.61,4.52,2.26,2.71,,6.02,41.26,,3.61,,,,3.31,5.72,7.68,,3.31,2.26,3.01,8.88,3.46,4.82,2.71,3.16,2.86,3.61,8.135802,3.228395,17.253086,0.0,1.826389,65.219675
US_SC_45043,2020-01-19,ChIJe4TinDsoAIkRTg5TEkAlSpM,Q505980,geoId/45043,US,United States of America,SC,South Carolina,45043,Georgetown County,US,USA,2,,,,,,,61826,29318,32508,5911,6911,6021,5737,6661,8638,10954,7874,3119,2532508,33.41,-79.3,2681,76.264286,,,,,,2.94,6.18,8.1,5.3,13.1,3.39,7.07,7.95,2.5,3.98,,7.66,4.12,3.24,3.83,,,4.42,3.53,15.31,5.74,10.01,6.04,3.09,3.98,3.09,10.45,5.3,,2.21,4.71,5.45,2.65,2.65,2.94,5.15,2.5,3.24,2.65,2.5,7.8,2.5,23.85,8.98,3.24,8.54,,3.98,4.27,2.8,2.65,,6.62,44.75,,2.21,,,2.8,2.21,3.53,6.62,,2.06,,2.94,5.74,5.74,4.42,3.24,3.39,4.12,3.24,16.567901,11.450617,18.567901,0.0,12.069444,74.975308
US_SC_45043,2020-01-20,ChIJe4TinDsoAIkRTg5TEkAlSpM,Q505980,geoId/45043,US,United States of America,SC,South Carolina,45043,Georgetown County,US,USA,2,,,,,,,61826,29318,32508,5911,6911,6021,5737,6661,8638,10954,7874,3119,2532508,33.41,-79.3,2681,76.264286,,,,,,,5.52,11.04,7.22,13.88,2.27,5.66,7.93,2.27,3.12,2.12,8.35,3.54,2.27,4.11,2.12,2.12,3.82,2.27,15.29,4.96,9.35,,3.12,5.38,3.26,9.35,5.24,1.98,3.54,3.54,5.1,3.54,2.55,5.95,4.25,2.27,4.53,2.41,3.68,10.76,2.69,26.48,7.93,4.39,7.65,2.12,4.96,5.1,5.38,3.12,,5.1,49.98,,1.98,,,3.68,2.69,4.81,8.49,2.27,2.83,2.27,2.69,7.22,2.97,6.94,2.41,3.96,3.82,2.69,4.697531,0.197531,12.753086,0.0,-4.9375,50.113962
US_SC_45043,2020-01-21,ChIJe4TinDsoAIkRTg5TEkAlSpM,Q505980,geoId/45043,US,United States of America,SC,South Carolina,45043,Georgetown County,US,USA,2,,,,,,,61826,29318,32508,5911,6911,6021,5737,6661,8638,10954,7874,3119,2532508,33.41,-79.3,2681,76.264286,,,,,,2.28,4.69,10.33,5.5,12.07,3.08,6.71,6.44,2.82,5.36,2.68,8.45,4.16,3.35,3.35,1.88,2.68,2.41,2.01,17.16,3.35,9.25,3.49,3.08,3.89,2.82,8.58,5.77,,3.62,4.29,5.23,3.08,3.08,3.49,6.3,1.88,8.85,2.82,2.28,11.27,1.88,25.75,6.04,4.29,7.78,,4.56,4.29,8.45,2.82,2.15,5.63,47.47,,2.15,2.15,,2.82,2.41,4.29,6.3,2.15,2.28,2.55,2.82,6.44,4.16,6.17,3.22,3.08,2.28,2.15,0.932099,-2.092593,5.228395,0.0,-8.486111,49.781134
US_SC_45043,2020-01-22,ChIJe4TinDsoAIkRTg5TEkAlSpM,Q505980,geoId/45043,US,United States of America,SC,South Carolina,45043,Georgetown County,US,USA,2,,,,,,,61826,29318,32508,5911,6911,6021,5737,6661,8638,10954,7874,3119,2532508,33.41,-79.3,2681,76.264286,,,,,,2.73,4.09,9.42,4.5,13.24,,9.55,7.51,2.32,4.09,2.46,7.1,4.91,2.87,4.09,,3.0,3.14,1.91,18.16,2.59,8.6,3.82,4.23,5.6,3.41,9.28,4.5,2.73,5.05,4.5,5.73,2.46,3.55,5.73,2.87,,8.46,3.28,3.82,9.01,,27.85,7.24,3.69,7.92,,2.18,5.46,9.69,2.73,,6.69,45.05,2.05,1.91,,1.91,3.55,2.18,5.87,7.64,2.05,2.46,,4.09,5.87,4.37,6.83,4.23,5.05,3.55,4.09,3.604938,-0.907407,11.993827,0.0,-6.430556,48.205013
US_SC_45043,2020-01-23,ChIJe4TinDsoAIkRTg5TEkAlSpM,Q505980,geoId/45043,US,United States of America,SC,South Carolina,45043,Georgetown County,US,USA,2,,,,,,,61826,29318,32508,5911,6911,6021,5737,6661,8638,10954,7874,3119,2532508,33.41,-79.3,2681,76.264286,,,,,,,5.29,9.08,4.47,12.74,4.2,7.32,6.37,2.17,3.93,2.85,5.83,2.98,,4.34,2.03,3.39,3.52,,20.47,4.07,9.08,4.88,2.17,3.12,3.25,9.62,4.61,2.58,2.58,3.52,5.83,3.39,2.58,5.29,3.93,,4.47,3.52,3.93,11.52,2.98,29.28,6.1,3.79,8.95,2.3,2.71,4.47,5.29,3.93,2.3,7.05,48.12,,2.58,,,2.85,2.85,6.1,7.05,2.3,3.66,2.17,3.25,8.13,6.1,4.2,3.66,3.93,2.71,2.98,6.209877,1.098765,12.623457,0.0,1.263889,70.951492
US_SC_45043,2020-01-24,ChIJe4TinDsoAIkRTg5TEkAlSpM,Q505980,geoId/45043,US,United States of America,SC,South Carolina,45043,Georgetown County,US,USA,2,,,,,,,61826,29318,32508,5911,6911,6021,5737,6661,8638,10954,7874,3119,2532508,33.41,-79.3,2681,76.264286,,,,,,,4.98,8.89,6.46,9.56,3.23,7.81,7.54,2.02,4.17,1.89,4.98,3.5,2.56,4.58,,,3.37,,19.66,3.5,7.41,3.64,3.1,2.15,2.15,9.83,4.44,,4.17,3.64,4.85,5.79,2.15,5.39,6.06,2.96,4.44,2.56,3.77,10.23,,27.88,7.14,4.31,6.6,2.02,3.77,6.46,5.39,5.12,2.29,5.79,45.12,,2.42,,1.89,2.56,1.89,5.66,6.33,,3.37,,3.1,8.75,5.79,5.39,2.69,1.89,3.77,2.29,12.024691,6.796296,18.154321,0.3175,10.201389,89.116948
US_SC_45043,2020-01-25,ChIJe4TinDsoAIkRTg5TEkAlSpM,Q505980,geoId/45043,US,United States of America,SC,South Carolina,45043,Georgetown County,US,USA,2,,,,,,,61826,29318,32508,5911,6911,6021,5737,6661,8638,10954,7874,3119,2532508,33.41,-79.3,2681,76.264286,,,,,,2.83,5.66,9.9,5.82,12.57,2.36,5.97,6.29,,4.56,,6.13,5.34,,2.36,4.09,3.62,4.56,,19.8,3.77,8.96,3.62,,5.66,,9.59,4.4,,2.67,3.77,4.4,6.76,2.2,6.13,3.3,2.2,5.19,,4.24,9.43,2.67,31.59,6.92,3.93,7.54,,4.09,4.71,4.24,2.67,,3.77,44.48,,2.99,,,3.77,2.36,3.46,5.97,,,2.36,5.19,6.29,5.34,5.03,2.99,,5.34,2.52,13.851852,7.549383,17.018519,6.5405,9.701389,76.545815
US_SC_45043,2020-01-26,ChIJe4TinDsoAIkRTg5TEkAlSpM,Q505980,geoId/45043,US,United States of America,SC,South Carolina,45043,Georgetown County,US,USA,2,,,,,,,61826,29318,32508,5911,6911,6021,5737,6661,8638,10954,7874,3119,2532508,33.41,-79.3,2681,76.264286,,,,,,2.43,4.58,11.01,5.15,10.3,2.29,6.29,7.01,2.43,2.72,,6.44,5.01,2.58,3.15,,,2.86,,23.03,5.43,10.44,2.43,2.0,3.72,4.43,6.58,3.43,2.29,3.0,5.43,4.86,6.58,2.29,4.29,5.01,,5.01,2.29,3.43,8.3,,30.32,6.44,3.29,6.72,2.58,3.15,5.43,4.29,2.15,,3.72,43.05,,2.0,,,3.15,,4.29,7.15,,,,,6.44,3.58,5.87,,2.0,5.29,3.72,8.08642,3.302469,14.074074,0.451556,2.368056,67.719521
